аа котик кенма;0
ааа боже звонящий повод графический планшет магазин;0
ааа деланный ненужный работа помимо основной раздражать задавать конкретный;1
ааа мень уже больший сотня читатель происходящий;0
ааа ненавидеть боже курсы реагировать умерший тупой план;1
ааа ненавидеть хочть смотреть продьюсер любящий смотреть шоу девочка классный изза эстер группа мень почемуто теряется желание;1
ааа пойти литр мень день история искусство литература насрать завтра поставить панков;1
ааа понятный многий возраст простой пойти обращать внимание;1
ааа право ненавидеть;1
ааа страшный;0
ааа чо;1
аааа злой музыка аааа ненавидеть аааа ааааа ууу сука смэээрть;1
аааа карантин довел учиться рисовать планшет ужооос;0
аааа ненавидеть факультет;1
аааа неожиданный классный;0
аааа самолет утро шумящий думать боже гневать;0
аааа убирать;1
аааа че ор;0
ааааа ждущий момент;0
ааааа заебало день ненавидеть помидор день мень спрашивать хочть помидорка;1
ааааа любимый опенингов подъехать гитара хиро ебошила путь;0
ааааа любящий;0
ааааа мама телек ✋🥺 плацю 💕💓💝💞💝💌💖;0
ааааа мужик длинный волос маньхуа сасные умираююююююююю;0
ааааа прощать маленький текстовый глава пишущий сложный долгий;0
ааааа сука карантин продлить сука куча домашка сука хочть сука игнорят сука доставать аааааааааааааааа;1
аааааа жгс ненавидеть;1
аааааа минь лайт кольцо джинёна милый;0
аааааа русичка задавать пишущий определение сочинение выдавать тетрадь развитие речь сборник огэ жвыжыжыыыы;1
ааааааа доставать общий чат выяснять отношение чей ребенок больший пиздюк прощать частичный пиздюки замьютила родительский чат;1
ааааааа пропущенные;0
аааааааа любящий деймон ау лучший ау мир;0
аааааааа позорище тупорылый;1
ааааааааа ненавидеть;1
ааааааааа травы ненавидеть;1
ааааааааааа якласс ненавидеть;1
ааааааааааааааааааааааа;1
аааааааааааааааааааааааа любящий;0
аааааааааааааааааааааааааа географичка ненавидеть тестыыырыиырылыдычбтчщв дстщсьущьзтл гр гриша;1
аааррррххх хороший 😡💞💞;0
абляляязащпзхххпхпхывп понимать пинта выкинуть лента ааа;0
абсолютный бред запад легкий увольнять сотрудник россия рф увольнять раб содержание объяснение фиктивный процент уволенный маленький страна абсолютный трудный получать статус безработный гос стопор служба занятость;1
абсолютный верный утверждение;0
абсолютный отвратительный;1
абсолютный план пойти пи де;1
абсолютный прирождённый убийца малышева мясник прочий лютый ненавидеть неродственников незнакомый;1
абсолютный раздражать настолько сильный хочть наорать;1
абсурд враньё;1
ава инст фотка уже успев надоесть;1
автоматический любящий человек использовать эдит твит 🥺✌️;0
агама агама пойти;1
агама власовец деланный попытка наскрести смысл понятие гвардия й просрали гвардейский дворянский полка скинув кровавый февраль й сталинский боевой гвардия просрал путина став придумывать состряпать дивизия давать день воевавший советский гвард;1
агама думать реальный хотеть;0
агама любящий гетто ида хоб мужик выползать автомастерская хлам орёт;0
агама пот шутить сторона отвратительный шутка псевдоуважение вылазит наружу;1
агама прямой бесящий вайн;1
агама футболка автограф помогать собирать млн долларовый видос порадовать месячный ребёнка;1
агрх мень злить здец;1
адекватный че;1
админка мень взаимный пиар вк насрали трудов репостят пост мень день рождение девочка прошлый спасибо буквально чувствовать работа говно вроде вп чужой пост;1
ажа бесящий жилой дом пишущий тупой произведение шуметь музыка слушать пишть сочинение;1
азербайджака мусульманка хочть убиться больший слышащий;1
азиатский песня ибо решать;0
азирафель азирафель ради бо дья ради угодный убивать лучший друг ублюдка;1
ай больной фемка угнетаютт абидна 🥺 …;1
ай любящий обмен интирисуят;0
ай мин человек наоборот серия хороший непонятный;0
ай ненавидеть песня;1
ай ужея растягиваться моющий читать позор;1
ай хороший картинка рабочий стол ставить больница школа бомбящий;1
